step,loss
0,0.1390259563922882
1,0.1239505261182785
2,0.10803578794002533
3,0.07887612283229828
4,0.08276315778493881
5,0.07858939468860626
6,0.058975718915462494
7,0.05233709514141083
8,0.048751503229141235
9,0.04426067695021629
10,0.04039657860994339
11,0.036388784646987915
12,0.0333230197429657
13,0.03363703191280365
14,0.03232895955443382
15,0.032859962433576584
16,0.03390812501311302
17,0.03160395845770836
18,0.035548873245716095
19,0.037956997752189636
20,0.03985826298594475
21,0.036493539810180664
22,0.028954854235053062
23,0.03147148713469505
24,0.032181620597839355
25,0.03190549463033676
26,0.027386095374822617
27,0.029775133356451988
28,0.03242940828204155
29,0.03160354122519493
30,0.0299174003303051
31,0.026751287281513214
32,0.02844131737947464
33,0.03069406747817993
34,0.02880452200770378
35,0.03288917988538742
36,0.02805529348552227
37,0.030225379392504692
38,0.02938833460211754
39,0.033912815153598785
40,0.024026058614253998
41,0.0295475572347641
42,0.03337212651968002
43,0.028559330850839615
44,0.0327141210436821
45,0.03229957073926926
46,0.03098081611096859
47,0.03277841955423355
48,0.0323786735534668
49,0.029275696724653244
50,0.029746588319540024
51,0.028339162468910217
52,0.031005859375
53,0.030494919046759605
54,0.028172999620437622
55,0.03511128947138786
56,0.03251592442393303
57,0.030150972306728363
58,0.03085438907146454
59,0.03470300883054733
60,0.028025371953845024
61,0.028745334595441818
62,0.02915051206946373
63,0.029281122609972954
64,0.030545499175786972
65,0.02704603597521782
66,0.031031370162963867
67,0.03042723797261715
68,0.025697704404592514
69,0.023355446755886078
70,0.025241916999220848
71,0.04282846301794052
72,0.022618483752012253
73,0.02987680211663246
74,0.036310989409685135
75,0.03854331374168396
76,0.03496497496962547
77,0.030458485707640648
78,0.02741340920329094
79,0.031287238001823425
80,0.03326086699962616
81,0.03187457099556923
82,0.027484547346830368
83,0.03427979350090027
84,0.030306942760944366
85,0.035631921142339706
86,0.029398946091532707
87,0.03138759732246399
88,0.026238709688186646
89,0.028153952211141586
90,0.033646561205387115
91,0.027944792062044144
92,0.03045874834060669
93,0.032575443387031555
94,0.031874753534793854
95,0.03178894519805908
96,0.027665402740240097
97,0.028961583971977234
98,0.028444375842809677
99,0.02555050328373909
100,0.026531334966421127
101,0.026264917105436325
102,0.02519095502793789
103,0.022442538291215897
104,0.02016565203666687
105,0.019543349742889404
106,0.02243659272789955
107,0.0169089175760746
108,0.02115466259419918
109,0.017671335488557816
110,0.01886734552681446
111,0.01461852341890335
112,0.016236713156104088
113,0.01763499341905117
114,0.013973763212561607
115,0.017518021166324615
116,0.01512504369020462
117,0.015606241300702095
118,0.017141934484243393
119,0.014339875429868698
120,0.016124311834573746
121,0.014831436797976494
122,0.016222089529037476
123,0.013033564202487469
124,0.013445593416690826
125,0.012671752832829952
126,0.014144949615001678
127,0.016918405890464783
128,0.013151995837688446
129,0.015581563115119934
130,0.01382424309849739
131,0.015602349303662777
132,0.014913750812411308
133,0.012995786964893341
134,0.013675859197974205
135,0.013419592753052711
136,0.015098697505891323
137,0.01092547457665205
138,0.014853234402835369
139,0.011664623394608498
140,0.014267811551690102
141,0.013871992938220501
142,0.013492602854967117
143,0.013670248910784721
144,0.012749359011650085
145,0.012720520608127117
146,0.011687768623232841
147,0.013705922290682793
148,0.01159348152577877
149,0.01341957412660122
150,0.011153755709528923
151,0.01094299741089344
152,0.012321941554546356
153,0.012154145166277885
154,0.011680146679282188
155,0.012925228103995323
156,0.012802029959857464
