step,generator,discriminator
0,54.167884826660156,0.7090905904769897
1,44.874534606933594,0.8992275595664978
2,37.45222091674805,0.7967336177825928
3,34.85926818847656,0.7340110540390015
4,32.25178527832031,0.7021346092224121
5,28.93813705444336,0.7001934051513672
6,25.901809692382812,0.6930094957351685
7,24.546154022216797,0.6944029927253723
8,23.756059646606445,0.6947025060653687
9,21.710567474365234,0.688291072845459
10,22.69635772705078,0.6866850852966309
11,20.7749080657959,0.6947090029716492
12,20.273115158081055,0.6775293350219727
13,19.29212188720703,0.6834903359413147
14,18.24445915222168,0.6807724833488464
15,18.64495277404785,0.6724244952201843
16,16.35391616821289,0.6773947477340698
17,18.548921585083008,0.6639896631240845
18,17.029794692993164,0.6621970534324646
19,16.358678817749023,0.6783261895179749
20,15.985536575317383,0.6761382222175598
21,15.515983581542969,0.6717187166213989
22,15.22265338897705,0.6671831011772156
23,15.894878387451172,0.658456563949585
24,14.713835716247559,0.6980575919151306
25,13.272751808166504,0.6955474615097046
26,13.635141372680664,0.7236888408660889
27,13.361367225646973,0.6384152173995972
28,13.131243705749512,0.6872383952140808
29,13.411747932434082,0.6734619140625
30,13.352180480957031,0.6518487930297852
31,12.554581642150879,0.6275340914726257
32,12.769672393798828,0.6503641605377197
33,11.834639549255371,0.6450848579406738
34,11.773155212402344,0.6243797540664673
35,11.373117446899414,0.6391639709472656
36,11.816618919372559,0.6251016855239868
37,11.488546371459961,0.607787013053894
38,10.918310165405273,0.6426877975463867
39,10.758174896240234,0.596814751625061
40,11.391400337219238,0.5798724293708801
41,10.522551536560059,0.6233541369438171
42,10.409063339233398,0.592951774597168
43,10.592183113098145,0.5624080300331116
44,9.704943656921387,0.6237846612930298
45,9.884384155273438,0.6532372236251831
46,10.085949897766113,0.6630116701126099
47,9.68312931060791,0.613547146320343
48,9.853608131408691,0.6721741557121277
49,9.661971092224121,0.6232213973999023
50,9.487255096435547,0.5573227405548096
51,9.692639350891113,0.5679984092712402
52,9.487289428710938,0.5765853524208069
53,9.663091659545898,0.589801549911499
54,9.141498565673828,0.5647507905960083
55,9.01012897491455,0.5740050077438354
56,9.126423835754395,0.6115986108779907
57,9.286261558532715,0.5722751021385193
58,9.786439895629883,0.5884666442871094
59,9.600075721740723,0.5393835306167603
60,9.097623825073242,0.5513013601303101
61,9.298110008239746,0.5343894958496094
62,9.45523452758789,0.5232927203178406
63,8.812938690185547,0.6177147626876831
64,8.762401580810547,0.5949092507362366
65,8.957103729248047,0.6107609272003174
66,9.110512733459473,0.6028136014938354
67,9.068882942199707,0.5707595348358154
68,9.167303085327148,0.5876686573028564
69,8.79641056060791,0.5563861727714539
70,8.960864067077637,0.5530527234077454
71,8.655776977539062,0.5128835439682007
72,9.077729225158691,0.574021577835083
73,8.790336608886719,0.5987632274627686
74,8.903742790222168,0.6153061389923096
75,8.816873550415039,0.5016492605209351
76,8.281595230102539,0.559473991394043
77,8.826148986816406,0.6084411144256592
78,8.698081016540527,0.5622072815895081
79,8.842220306396484,0.5091937780380249
80,8.87853717803955,0.5321846604347229
81,8.30398178100586,0.5428051352500916
82,8.612922668457031,0.5033888816833496
83,8.411401748657227,0.48093852400779724
84,9.365909576416016,0.5122129917144775
85,8.856365203857422,0.5599340796470642
86,8.824451446533203,0.7047193050384521
87,8.361857414245605,0.6910754442214966
88,8.00525188446045,0.7055705189704895
89,8.633012771606445,0.6462050676345825
90,7.972233772277832,0.5838626027107239
91,8.45481014251709,0.6056040525436401
92,7.968760013580322,0.5425744652748108
93,8.313612937927246,0.575922966003418
94,8.558640480041504,0.5875541567802429
95,8.594621658325195,0.6537415981292725
96,8.328180313110352,0.5400731563568115
97,8.409771919250488,0.5267985463142395
98,8.911308288574219,0.535818338394165
99,8.740763664245605,0.5836119651794434
100,8.50304889678955,0.5861081480979919
101,8.393908500671387,0.5487930178642273
102,8.471674919128418,0.5688658952713013
103,8.354875564575195,0.4808953106403351
104,8.547066688537598,0.5309090614318848
105,8.64365005493164,0.549813985824585
106,8.592253684997559,0.5348848104476929
107,8.156123161315918,0.5171349048614502
108,7.942140102386475,0.5117692947387695
